gene	logOR	p-value adjusted	P	M	C	S	totalP	totalM	totalC	totalS	mice_with_C_or_S	n_alt_counts	n_CL
MGAM	7.44	3.94e-08	0	0	12	18	10	8	15	21	8	98	5
HEATR4	6.79	4.82e-08	0	0	32	32	10	8	34	51	9	557	5
GDF9	6.67	4.99e-08	0	0	35	32	10	8	37	54	9	184	5
AHI1	7.1	6e-08	0	0	18	25	9	7	21	32	8	60	5
PPP3R2	6.74	6.47e-08	0	0	24	26	9	8	29	37	8	161	6
GFM2	6.8	6.58e-08	0	0	15	24	11	9	17	36	9	309	5
HRH2	6.66	6.94e-08	0	0	31	30	10	8	34	49	9	232	5
INPPL1	6.74	8.57e-08	0	0	25	20	11	9	29	33	7	245	5
CCDC149	6.62	8.94e-08	0	0	28	28	11	9	33	46	9	142	5
SCN11A	6.49	1.03e-07	0	0	26	36	11	9	37	53	8	281	6
PDCD11	6.33	1.09e-07	0	0	30	36	12	9	41	60	10	217	6
CCNQ	10	1.17e-07	0	0	3	9	11	9	3	9	6	82	5
CCPG1	10	1.17e-07	0	0	4	8	11	9	4	8	6	259	5
CYP2C8	6.42	1.46e-07	0	0	30	29	11	9	37	50	9	156	5
NTRK3	8.75	1.46e-07	0	0	8	9	10	8	8	10	7	182	5
OSBP2	8.02	1.46e-07	0	0	7	11	9	8	8	12	7	83	5
ZNF561	6.44	1.46e-07	0	0	29	31	11	9	36	52	9	387	5
CDNF	6.5	1.57e-07	0	0	28	21	11	9	31	40	9	86	6
TRIM24	6.7	1.58e-07	0	0	22	24	10	8	29	33	9	98	5
WEE1	6.65	1.58e-07	0	0	21	32	8	7	28	41	7	318	6
ZC3H6	7.84	1.59e-07	0	0	6	13	11	9	6	16	8	138	6
RAD21	7.55	1.68e-07	0	0	12	23	8	6	13	27	8	69	5
DGKI	8.01	1.7e-07	0	0	10	9	9	7	11	10	9	42	5
KIAA1958	8.73	1.7e-07	0	0	6	9	11	9	6	10	7	154	5
PSMD6	9.8	1.7e-07	0	0	5	8	9	7	5	8	6	128	6
VAC14	9.9	1.7e-07	0	0	6	8	9	7	6	8	6	90	5
ATAD2B	4.8	2e-07	1	1	35	34	11	9	36	51	9	661	6
SLC35F2	6.46	2e-07	0	0	29	23	11	9	34	42	9	128	5
WDFY3	6.65	2.11e-07	0	0	14	21	11	9	17	32	9	293	6
BNIP1	6.18	2.18e-07	0	0	33	28	12	9	39	58	10	313	6
SLC5A3	6.44	2.45e-07	0	0	26	21	11	9	33	36	9	411	5
CREBBP	6.94	2.51e-07	0	0	8	17	11	9	13	20	9	157	6
ANK3	6.39	2.59e-07	0	0	27	33	11	9	37	52	9	777	6
POLR3B	7.03	2.61e-07	0	0	18	19	9	7	20	26	8	88	5
PDE8A	9.85	2.74e-07	0	0	7	5	10	8	7	5	6	92	5
PSMD5	6.44	2.74e-07	0	0	27	30	10	8	35	46	8	169	5
RPS6KA6	9.85	2.74e-07	0	0	3	9	10	8	3	9	9	63	5
IDE	6.48	3.25e-07	0	0	12	37	10	8	25	44	8	339	6
KCNA4	6.58	3.25e-07	0	0	28	22	10	8	32	37	8	185	5
SLC35F1	7.47	3.32e-07	0	0	9	12	10	8	11	14	6	62	5
ZNF195	6.38	3.61e-07	0	0	27	32	10	8	32	53	8	198	5
GNL3	6.35	3.73e-07	0	0	25	33	11	9	36	51	8	323	5
ELMO2	6.34	4.82e-07	0	0	25	23	11	9	29	43	9	91	5
PDCL	6.45	5.35e-07	0	0	28	31	9	7	35	46	9	224	6
APH1B	6.22	5.51e-07	0	0	23	33	11	8	30	55	10	176	6
CAST	6.1	5.67e-07	0	0	37	32	11	8	44	64	10	201	5
LRBA	6.18	6.44e-07	0	0	29	28	11	9	37	52	9	189	6
GFPT2	6.32	6.53e-07	0	0	25	34	10	8	35	51	8	210	5
STRAP	8.53	7.05e-07	0	0	6	7	11	9	6	8	8	117	5
IL2	7.93	9.23e-07	0	0	6	10	10	8	6	12	8	133	5
NFRKB	7.93	9.23e-07	0	0	6	10	10	8	7	11	8	146	5
SAMD15	8.58	9.23e-07	0	0	7	8	10	8	7	9	7	186	5
ZNF566	6.29	1.03e-06	0	0	22	25	10	8	28	41	9	70	5
TIGD6	6.14	1.07e-06	0	0	29	28	11	9	37	53	9	455	6
ZC3H7A	6.09	1.07e-06	0	0	27	35	12	9	41	60	10	125	6
TXNL4B	7.26	1.13e-06	0	0	7	13	11	9	10	15	8	92	5
EPC2	8.41	1.5e-06	0	0	9	6	9	7	9	7	6	91	5
PSMB1	5.95	1.56e-06	0	0	13	36	12	9	27	56	10	191	5
DEK	6.85	1.57e-06	0	0	8	18	10	8	8	26	7	234	5
KAT2B	9.6	1.62e-06	0	0	4	6	10	8	4	6	6	686	5
ECT2L	5.95	1.9e-06	0	0	26	33	11	8	40	56	10	344	6
PCDHB1	6.21	2.2e-06	0	0	21	19	11	9	31	31	7	178	6
DCAF7	6.66	2.56e-06	0	0	21	29	7	5	24	38	7	84	5
LIX1L	6.76	2.6e-06	0	0	8	14	11	9	11	19	9	159	5
ZNF484	6.94	2.6e-06	0	0	10	12	11	9	11	18	8	211	5
CCT2	6.58	2.62e-06	0	0	12	18	9	7	14	26	8	145	6
PSMD1	7.04	3.21e-06	0	0	3	16	10	8	6	18	7	81	5
CPLANE1	6.05	3.59e-06	0	0	13	26	11	9	22	41	9	650	6
GLTP	6.09	3.99e-06	0	0	28	24	11	9	37	46	8	132	6
POLR2G	6.01	4.15e-06	0	0	23	26	10	8	32	45	9	76	6
ACSL4	5.97	4.44e-06	0	0	18	25	11	9	29	42	9	321	5
POLR2B	7.08	4.48e-06	0	0	5	13	9	7	5	17	8	129	6
RAPGEF4	6.2	4.55e-06	0	0	15	14	11	9	21	24	8	152	6
WAC	6.1	4.59e-06	0	0	13	30	10	8	20	46	9	123	6
NEK1	6.01	4.81e-06	0	0	16	30	11	9	29	46	8	542	6
KAT6B	5.92	5.66e-06	0	0	23	26	11	9	34	48	9	589	6
TAGAP	6.34	5.88e-06	0	0	9	20	10	8	18	24	9	121	5
KLHDC1	6.55	6e-06	0	0	4	17	9	9	5	24	7	95	6
DDR2	7.39	6.3e-06	0	0	6	17	7	5	6	20	6	55	5
RANGAP1	6.23	6.66e-06	0	0	20	13	10	8	21	28	8	182	5
SETD3	5.98	7.15e-06	0	0	27	31	9	7	36	52	9	84	5
UBR5	6.4	7.27e-06	0	0	5	24	8	8	6	34	6	102	5
GGPS1	7.41	7.62e-06	0	0	3	8	10	8	4	9	6	162	5
PHKB	8.27	7.62e-06	0	0	3	9	10	8	4	9	7	103	5
VPS53	8.27	7.62e-06	0	0	5	7	10	8	5	8	8	100	5
MYCBPAP	5.64	8.69e-06	0	0	20	31	12	9	36	59	10	696	6
NIPBL	5.62	8.7e-06	0	0	30	25	12	9	44	59	10	543	5
CACNA2D1	6.87	8.84e-06	0	0	8	11	9	7	9	15	6	105	5
F11	6.94	8.84e-06	0	0	5	11	11	9	7	14	8	57	5
REX1BD	6.87	8.84e-06	0	0	13	6	9	7	14	10	8	91	6
USP48	9.11	9.42e-06	0	0	4	5	8	6	4	5	7	23	5
ABCA8	4.81	9.66e-06	1	0	30	33	10	8	37	52	9	586	6
C9orf152	5.95	9.71e-06	0	0	24	25	9	7	33	42	8	99	5
FIG4	6.09	9.75e-06	0	0	20	24	9	7	28	37	7	56	5
MAP3K8	6.52	9.82e-06	0	0	9	14	10	8	11	21	9	118	5
ATM	6.17	9.93e-06	0	0	8	17	11	9	13	26	9	332	6
IRF8	9.3	1.15e-05	0	0	2	6	10	8	2	6	6	103	5
GASK1B	5.91	1.21e-05	0	0	18	19	11	9	27	35	9	103	5
ACSS3	6.11	1.25e-05	0	0	14	20	9	7	21	29	8	100	5
EEF1AKMT2	7.19	1.26e-05	0	0	2	13	9	7	3	15	7	97	6
FRRS1	6.03	1.52e-05	0	0	17	17	10	8	23	30	8	118	5
DOC2A	5.99	1.59e-05	0	0	8	17	11	9	16	25	8	181	5
LRRC9	7.43	1.78e-05	0	0	1	9	11	9	1	11	6	277	6
TRPC4	7.37	1.83e-05	0	0	3	9	9	7	5	9	6	106	6
ARHGAP35	5.74	1.96e-05	0	0	23	24	11	9	34	49	7	432	6
FBXW7	5.89	2.03e-05	0	0	20	30	10	8	36	45	9	211	5
STAG2	5.63	2.2e-05	0	0	26	28	13	9	42	61	10	1027	6
THBS4	5.82	2.2e-05	0	0	24	28	10	8	35	51	9	184	5
LRR1	5.66	2.21e-05	0	0	18	29	11	9	35	50	9	902	6
TSEN2	6.33	2.26e-05	0	0	6	17	8	6	9	22	7	50	5
CFAP57	9.13	2.29e-05	0	0	1	7	9	7	1	7	6	35	5
CPNE8	9.13	2.29e-05	0	0	3	5	9	7	3	5	6	75	5
OSGEPL1	9.13	2.29e-05	0	0	2	6	9	7	2	6	6	57	5
CYP2C18	5.68	2.31e-05	0	0	26	24	11	9	37	53	8	557	6
LRRTM2	5.65	2.31e-05	0	0	33	16	11	9	37	52	9	249	5
VIPAS39	5.73	2.42e-05	0	0	21	31	10	8	36	52	9	219	5
DDX18	6.47	2.45e-05	0	0	3	13	9	8	4	18	7	83	5
SLC6A14	6.47	2.45e-05	0	0	5	11	9	8	5	17	7	70	5
ERBIN	5.77	2.52e-05	0	0	20	26	10	8	33	44	9	336	6
SGCB	5.62	2.64e-05	0	0	20	21	11	9	31	44	9	98	6
PRORP	5.63	2.69e-05	0	0	20	26	11	9	35	49	8	260	6
ZNF660	5.63	2.69e-05	0	0	21	25	11	9	36	48	9	231	6
POLR3A	5.65	2.83e-05	0	0	27	22	10	8	36	49	8	242	5
GID4	5.8	2.97e-05	0	0	16	22	10	8	25	38	9	89	5
CEP120	5.97	3.55e-05	0	0	4	23	8	8	7	34	6	162	6
CYP26A1	5.65	3.56e-05	0	0	18	27	10	8	34	44	9	92	5
LYST	5.58	3.63e-05	0	0	21	27	11	9	37	52	9	934	6
UTRN	5.56	3.65e-05	0	0	20	25	11	9	35	49	8	211	5
PRDX3	5.71	4.06e-05	0	0	16	20	11	9	28	36	9	165	5
PRSS16	5.47	4.09e-05	0	0	17	18	12	9	25	44	9	230	6
MBD6	6.15	4.2e-05	0	0	5	10	10	9	5	18	7	145	6
ZNF786	6.31	4.2e-05	0	0	11	5	11	9	13	11	6	175	5
NCOR1	6.11	4.41e-05	0	0	8	13	10	8	10	22	7	106	5
CLEC9A	5.85	4.5e-05	0	0	16	17	10	8	25	29	9	81	5
ATAD5	5.69	4.57e-05	0	0	13	25	11	9	24	44	8	477	6
P3H2	5.92	4.73e-05	0	0	11	23	8	6	17	33	7	22	3
GRPEL1	5.62	4.95e-05	0	0	18	17	11	9	28	36	9	219	5
SLITRK4	5.48	5.56e-05	0	0	14	25	10	9	30	43	8	473	5
PHC3	5.8	5.85e-05	0	0	14	20	9	7	16	38	7	250	6
PPIE	5.97	6.08e-05	0	0	10	14	10	8	16	22	7	117	5
SLC38A6	5.36	6.33e-05	0	0	23	18	12	9	37	47	9	155	6
MBD5	6.29	6.5e-05	0	0	7	10	8	6	8	15	8	61	5
SEL1L	6.5	6.5e-05	0	0	4	9	10	8	5	13	8	200	6
FANK1	5.53	6.54e-05	0	0	21	22	11	9	37	44	9	75	5
MCTP1	5.95	8.32e-05	0	0	5	12	10	8	9	18	8	241	6
SLC30A5	6.09	8.32e-05	0	0	7	10	10	8	8	18	7	99	5
IL1A	5.51	8.45e-05	0	0	20	17	10	8	29	38	8	83	6
TLR8	5.44	9.16e-05	0	0	21	16	11	9	33	39	8	245	5
NPC1	5.44	9.42e-05	0	0	22	30	11	9	40	61	8	232	6
POP1	5.43	0.000111	0	0	25	24	10	8	37	54	9	288	6
SCN8A	5.43	0.000111	0	0	23	26	10	8	37	54	8	320	5
HBS1L	5.97	0.000121	0	0	6	12	10	9	9	20	6	166	5
CNOT6L	6.04	0.000136	0	0	6	15	8	6	9	21	6	86	5
PCDHA12	5.48	0.000154	0	0	17	19	11	9	26	43	8	596	6
ZC3H14	5.4	0.000154	0	0	14	21	11	9	27	42	7	354	6
